Name,lng,lat,id
Abu Mina,29.6631,30.8411,206
Adamclisi,27.95,44.08333,1
Aezanitis,29.533,39.183,137
Ainos,26.066667,40.733333,138
Akhtopol (Agathopolis),27.95,42.1,59
Aksakovo,27.816667,43.25,2
Al-Qubeiba,35.13685,31.839933,209
Allianoi,27.305556,39.234722,139
Amasra (Museum),32.386389,41.749444,140
Amorium,31.289167,39.020556,141
Amphipolis,23.84,40.818333,233
Amvrakikos,20.883333,39.1,224
Anatolia,34.339463,39.263440,
Antikyra,22.633333,38.383333,134
Antioch,36.160,36.190,175
Apollonia,34.8068,32.1952,181
Aquis Prahovo (Aquis),22.590,44.290,46
Argos,22.716667,37.616667,221
Arrë-Mollë,20.233333,41.85,87
Ashqelon,34.566667,31.666667,182
Athens,23.716667,37.966667,135
Azbresnica,21.696111,43.357222,91
Baalbek,36.207322,34.006336,27
Baernbach-Mitterndorf,15.9166,48.2833,112
Balchik (Dionyssopolis),28.166,43.416,9
Balis (Barbalissus),38.3026,35.8366,177
Banat,21.434327,45.073874,
Banjica,21.66556,41.70056,96
Bargala,22.29,41.798611,88
Belgrade (Museum),20.460,44.810,72
Belsh,19.883333,40.983333,89
Beroe,25.65,42.433333,60
Berytus,35.509,33.871,179
Bet-Guvrin,34.898297,31.613097,183
Bet-She'an,35.5,32.5,184
Bich’vinta,40.3333,43.1666,167
Bolu (Museum),31.58216,40.64131,142
Bolvadin (Museum),31.05,38.716667,143
Bratei,24.4167,46.1667,114
Bucovina,25.913831,47.840850,
Bursa (Museum),29.05,40.183333,144
Butrint,20.020278,39.746111,90
Buzău,26.8333,45.15,113
Byadoudi,22.933333,40.433333,217
C-ple Constantinople,28.981389,41.012222,145
Caesarea Maritima,34.880,32.500,185
Camarina,14.4475,36.871667,
Canlia,27.6,44.1,3
Capidava,28.09316,44.49739,4
Caricin Grad (Justiniana Prima),21.669972,42.953247,73
Carnuntum,16.85,48.1167,115
Carthage,10.3233,36.8528,
Cecan/Gorni Streoc,20.5142,42.5495,
Celje,15.2675,46.235833,132
Cernavodă (Axiopolis),28.016,44.366,5
Cetatea,27.880833,44.005556,6
Constanța (Tomis),28.638333,44.173333,7
Corinth,22.933333,37.933333,136
Cornus,8.5081,40.0933,
Corotna,29.8594,46.6292,116
Craiova,23.8,44.3167,117
Crete,25.188787,35.129079,
Cucorăni,26.5167,47.7833,118
Curium,32.8877,34.6642,232
Dimitrovgrad,22.783333,43.016667,213
Dinogetia,28.138789,45.378969,8
Dobrudja,28.534448,44.329169,
Dragoevo,22.07083333,41.69083333,
Drobeta,22.666667,44.566667,74
Dubovac,20.895,42.7656,208
Dubrovnik,18.07,42.66,104
Dunareni-Bratca,27.791438,44.206816,
Dunavăț,29.220833,44.983056,11
Dunăreni (Sacidava),27.790556,44.204444,10
Dürres (Museum),19.45,41.316667,91
Edirne,26.566667,41.666667,146
Efes Ephesus,27.341944,37.941111,147
Elaiussa Sebaste,34.173725,36.483624,245
En-Gedi (Ramat HaNadiv),35.383333,31.45,186
En-Zur ,34.944247,32.547972,187
Enisala,28.760,44.921,12
Feltre Museum,46.016667,11.9,
Fethiye ,29.123056,36.651389,210
Fiseka,26.708889,43.312222,13
Gabrovo (Gradishte),25.334,42.874,15
Gajary,16.923889,48.466111,244
Gerasa,35.891397,32.272281,203
Germania,23.266667,42.283333,75
Giurgița,23.6333,44.0167,119
Gradishte Taor (Tauresium),21.611389,41.898056,92
Grădina,28.43,44.55,14
Gure,26.88535,39.59314,148
Hajdunanas,21.433333,47.85,
Hama,36.75,35.133333,178
Hamat Gader,35.665397,32.684031,188
Harmanly,25.900,41.933,61
Heraclea Lyncestis,21.3425,41.010833,235
Herakleion,25.133333,35.333333,171
Hierapolis,29.125833,37.925,149
Hippos,32.778889,35.659444,
Histria,28.77165,44.54736,18
Horga,27.8833,46.2833,120
Horvat Eleq,34.950,32.550,189
Hârșova (Carsium),27.951944,44.683333,17
Iasos,37.277778,27.586389,
Iatrus,25.566,43.633,19
Isle of Wight,-1.266667,50.666667,
Isparta (Museum),30.556,37.764,150
Izmail,28.8333,45.35,121
Izvoarele,27.600,44.100,204
Jerusalem,35.216,31.783,190
Kalenderis,28.621389,36.826389,151
Kaliakra (Accres),28.466,43.350,20
Kalyva,24.6227901,41.2627301,93
Karasura,25.383556,42.240108,62
Karlobag,15.07,44.527,105
Kastritsa,20.921667,39.631667,
Kaunos,33.322778,36.144167,152
Kayseri (Museum),35.483333,38.733333,153
Khirbet Fa’ush,35.05,31.9,191
Kochovo,26.8,43.233,21
Komotini,25.416667,41.1,215
Korçë,20.766667,40.616667,94
Kovachevsko kale,26.145933,43.359253,22
Kriva Kruša,21.623889,41.6,226
Kölked-Feketekapu,18.7078,45.9503,122
Kütahya (Museum),29.983333,39.416667,154
Lake Kinneret,35.583333,32.833333,192
Lanurile,28.422778,44.089722,23
Lazica,41.876922,42.013339,
Limanu,28.533333,43.8,24
Lin,20.638611,41.066111,95
Lis,20.083333,41.633333,76
Lovech,24.583,43.066,63
Majsan,17.198611,42.960278,106
Malatya (Melitene),38.3,38.35,156
Malo Konare,24.433,42.2,64
Mangalia (Callatis),28.58333,43.8,25
Manisa (Museum),27.422222,38.630556,155
Martyrius Monastery,35.300317,31.779181,193
Maskare,21.378333,43.678889,77
Mesembria Nessebur (Mesembria),27.732,42.656,26
Mesopotamia,42.942788,37.190421,
Metodievo,27.975,43.615,26
Mikron Doukaton,25.4,41.03333,100
Mircești,27.6666,46.9,123
Moesia Secunda,26.533248,44.579842,
Mount-Gerizim,35.272778,32.199444,194
Mount-Nebo,35.725,31.766667,195
Murighiol (Halmyris),29.166,45.033,16
Nabratein,35.516739,32.991892,196
Naxos,25.483333,37.05,172
Nea Ankhialos,22.816667,39.266667,37
Nemea,22.710278,37.808889,207
Nessana,34.420,30.880,197
Nessebur (Mesembria),27.732,42.656,65
Niculițel,28.483,45.183,27
Nirim,34.395897,31.3349,198
Niğde (Museum),34.679167,37.966667,158
Nis,21.895759,43.320902,
Nokalakevi,42.1833,42.35,168
Novae,25.35044,43.61959,28
Novi Banovci,20.283333,44.95,49
Noviodunum,28.46667,45.26667,29
Nufăru,28.916667,45.15,30
Odemis Museum,27.971944,38.231111,
Oderzo,45.78,12.488056,
Odurtsi,27.96667,43.43333,31
Ohrid (Lychnidos),20.801667,41.116944,237
Oltenia,23.583592,44.568487,
Olympia,21.63,37.638,
Olynthus,23.354,40.296,38
Onogur,27.5833,43.8167,205
Orlea,24.3833,43.75,124
Orolik,18.983333,45.216667,107
Osijek (Museum),18.69389,45.55111,108
Ostrov,27.378499,44.105102,
Palazu-Mare,28.601141,44.229018,33
Palazu-Mic,28.531667,44.440556,34
Palestine,35.123309,32.086999,
Paliokastro,21.816667,39.6,95
Paphos,32.416667,34.766667,169
Patelenitsa,24.2,42.116667,66
Patras,21.733333,38.25,
Pazardzhik (Museum),24.333333,42.2,67
Pecineaga,28.5,43.9,35
Pella,35.610,32.450,199
Perani,23.4774129,37.8977848,
Pergamum,27.184167,39.1325,160
Perge,30.853889,36.961389,161
Peristera,24.3,42.033333,240
Pernik,23.037837,42.605186,
Petrovci,18.95,45.283333,133
Philippi,24.286389,41.013056,234
Pisidian Yalvaç (Pisidian Antioch),31.18,38.295556,157
Pogradec,20.65,40.9,98
Poiana-Dulcești,26.7888,46.9616,125
Polypetron,22.506944,40.874444,222
Prahovo (Aquis),22.590,44.290,71
Preslav,26.816667,43.15,36
Priene,27.297778,37.659722,162
Prokuplje,21.6,43.233333,212
Provadia,27.43333,43.2,37
Psofida,21.9,37.866667,229
Pula (Museum),13.85,44.87,109
Păcuiul lui Soare,27.450,44.133,32
Rasova,27.975557,44.23802,38
Ratiaria,22.915278,43.815556,79
Rentina (Artemision),23.616667,40.666667,216
Râncăciov,25.05,44.8667,126
Sacidava,27.988644,44.233506,
Sadovets,24.35,43.3,80
Sagalassos,26.372,39.082,163
Salamis-Constantia,33.900,35.170,170
Samaria,35.195,32.276,200
Samos,26.833333,37.75,173
Sant'Agata Feltria,43.866667,12.216667,
Santorini,25.433333,36.416667,174
Saranda,20.01,39.875,99
Sardis,28.040278,38.488333,164
Satu nou,28.216,44.266,39
Scolacium,16.595556,38.809167,
Sebeș,23.5708,45.9589,128
Segvar,20.2333,46.5833,130
Sepphoris,35.278611,32.745556,201
Serrai,23.55,41.083333,100
Setina,21.6265,40.86667,101
Sexaginta Prista,25.967,43.85,40
Shevchenkivka,30.1,46.9333,129
Shkodra,19.51258,42.06828,81
Shtarkovo,24.2352916,42.3002578,69
Shumen,26.929,43.276,41
Shützen am Gebirge,16.6167,47.85,127
Side,31.388889,36.766667,165
Silistra (Durostorum),27.26667,44.11667,42
Sinoe,28.730556,44.628056,43
Sinop (Museum),34.87095,41.77106,2
Sinope Sinop (Museum),34.87095,41.77106,166
Sirmium,19.61222,44.97639,82
Slava Rusă (Ibida),28.60557,44.85029,45
Sliven,26.333,42.683,68
Smyrna,27.147920,38.399126,
Sofia (Serdica),23.33,42.7,83
Sofia-Lozenets,23.326389,42.675000,
Stalać,21.414444,43.679444,84
Star Grad,21.66416667,41.58083333,
Stari-Grad,21.665,41.581111,228
Stari-Slankamen,20.2599,45.1399,85
Stobi,21.975,41.551667,236
Storgosia,27.366111,43.703333,46
Sucidava,24.45,43.7667,47
Tel Jezreel,35.327953,32.557853,202
Teovo,21.57194,41.57917,98
Teteven,24.25,42.916667,49
Thasos,24.65,40.683333,101
Thessalonica,22.9,40.65,102
Tirana (Museum),19.816,41.326,103
Tiszakeszi,21,47.7833,131
Topalu,28.05,44.55,50
Transylvania,24.308690,46.598061,
Troesmis,28.183333,45.116667,51
Troesmis-Iglita,28.189149,45.144505,
Trogir,16.25167,43.5125,110
Tsarevets,25.652778,43.083333,52
Tsari Mali,23.3829994,42.3499985,
Tsepina,24.124,42.085,70
Tufani,28.083333,43.966667,53
Tyana,34.611111,37.848056,
Tyre,35.196111,33.270833,180
Târgușor,28.42928,44.46474,48
Ulmetum,28.3417,44.5476,54
Varna (Odessos),27.9,43.18333,56
Veteranu,28.131389,44.155,57
Villanova Forru,8.866667,39.633333,
Viminacium,21.168,44.711,86
Voynikovo,27.366667,43.683333,58
Văcăreni,28.2,45.316667,55
Xanthi,24.883333,41.133333,218
Yapi Credi,28.893044,41.035508,
Zagreb (Museum),15.974,45.818,111
Zusem,15.486914,46.160178,
Ödemiș (Museum),27.971944,38.231111,159
Șipote,27.959444,44.044722,44